test_num,timestamp,query,search_type,city,num_results,seq_time,seq_pages,seq_domains,par_time,par_pages,par_domains,speedup
1,2025-06-25 00:40:53,playas en Bogotá,playas,Bogotá,8,4.802335739135742,50,8,13.539407730102539,50,17,0.35469319152407064
2,2025-06-25 00:41:44,museos en Lima,museos,Lima,8,10.091787815093994,50,10,36.23287510871887,50,12,0.2785257251822548
3,2025-06-25 00:42:09,restaurantes en Los Ángeles,restaurantes,Los Ángeles,8,6.792768478393555,50,18,14.567407369613647,50,21,0.4662990679153164
4,2025-06-25 00:42:37,museos en Vancouver,museos,Vancouver,8,9.530959844589233,50,5,14.683324098587036,50,8,0.6491009651899183
5,2025-06-25 00:43:22,hoteles en Miami,hoteles,Miami,8,9.123689651489258,50,28,31.23504877090454,50,23,0.29209781993322764
6,2025-06-25 00:43:59,museos en Lisboa,museos,Lisboa,8,14.099624395370483,50,15,18.944008588790894,50,16,0.7442788219444317
7,2025-06-25 00:44:48,hoteles en Madrid,hoteles,Madrid,8,12.263044357299805,50,12,31.76925802230835,50,15,0.3860034864109418
8,2025-06-25 00:45:23,restaurantes en Buenos Aires,restaurantes,Buenos Aires,8,8.156669855117798,50,17,20.50374674797058,50,19,0.39781362671801085
9,2025-06-25 00:45:56,playas en Vancouver,playas,Vancouver,8,7.883216142654419,50,4,21.51663374900818,50,22,0.36637776311165776
10,2025-06-25 00:46:30,museos en Santiago,museos,Santiago,8,10.634302854537964,50,13,18.077430725097656,50,21,0.5882640634199148
